alpha,seed,v_orbit,tau_var,eta_var
3.0,2,0.0,0.0,0.0
3.0,4,0.0,0.0,0.00617283950617284
3.0,5,0.0,0.0,0.00520833333333333
3.0,8,0.0,0.0,0.0
3.0,7,0.0,0.0,0.0
3.0,1,0.0,0.0,0.0
3.0,0,0.0,0.0,0.0
3.0,6,0.0,0.0,0.0
3.0,9,0.0,0.0,0.00617283950617284
3.0,3,0.0,0.0,0.0
3.0,10,0.0,0.0,0.006172839506172844
3.0,11,0.0,0.0,0.0
3.0,13,0.0,0.0,0.0
3.0,12,0.0,0.0,0.0
3.0,16,0.0,0.0,0.0
3.0,14,0.0,0.0,0.0
3.0,18,0.0,0.0,0.0
3.0,15,0.0,0.0,0.0
3.0,19,0.0,0.0,0.006172839506172827
3.0,17,0.0,0.0,0.0
3.0,21,0.0,0.0,0.0
3.0,22,0.0,0.0,0.0
3.0,20,0.0,0.0,0.0
3.0,23,0.010921914805952481,0.7875,0.014022453703703704
3.0,25,0.0,0.0,0.0
3.0,26,0.0,0.0,0.0
3.0,28,0.0,0.0,0.0
3.0,24,0.0,0.0,0.0
3.0,27,0.0,0.0,0.0
3.0,29,0.0,0.0,0.00617283950617284
3.0,30,0.0,0.0,0.0
3.0,31,0.0,0.0,0.0
3.0,32,0.0,0.0,0.0
3.0,33,0.0,0.0,0.0
3.0,34,0.0,0.0,0.0
3.0,36,0.0,0.0,0.0
3.0,35,0.0,0.0,0.0
3.0,37,0.0,0.0,0.0
3.0,38,0.0,0.0,0.00617283950617284
3.0,39,0.0,0.0,0.0
3.0,40,0.0,0.0,0.0
3.0,41,0.0,0.0,0.0
3.0,42,0.0,0.0,0.00617283950617284
3.0,43,0.0,0.0,0.0
3.0,44,0.0,0.0,0.0
3.0,45,0.33480049236467224,0.7497222222222223,0.5043922839506172
3.0,46,0.10288815984184489,0.7875,0.13028970336076817
3.0,47,0.0,0.0,0.0
3.0,49,0.0,0.0,0.0
3.0,48,0.0,0.0,0.0
3.2,0,0.0,0.0,0.0
3.2,1,0.0,0.0,0.0
3.2,2,0.0,0.0,0.0
3.2,3,0.0,0.0,4.930380657631324e-32
3.2,4,0.0,0.0,0.006172839506172841
3.2,6,0.0,0.0,0.0
3.2,5,0.0,0.0,0.0
3.2,7,0.0,0.0,0.0
3.2,8,0.0,0.0,0.0
3.2,9,0.0,0.0,0.00617283950617284
3.2,10,0.1802426179150845,0.7875,0.23244259259259256
3.2,11,0.0,0.0,0.0
3.2,12,0.0,0.0,0.0
3.2,13,0.0,0.0,0.0
3.2,14,0.0,0.0,0.0
3.2,15,0.0,0.0,0.0
3.2,16,0.0,0.0,0.0
3.2,17,0.0,0.0,0.0
3.2,18,0.0,0.0,0.0
3.2,19,0.0,0.0,0.0
3.2,20,0.0,0.0,0.0
3.2,21,0.0,0.0,0.0
3.2,22,0.0,0.0,0.00617283950617284
3.2,23,0.00784758231278569,0.7875,0.01327283950617284
3.2,24,0.0,0.0,0.0
3.2,25,0.0,0.0,0.0
3.2,26,0.0,0.0,0.0
3.2,27,0.0,0.0,0.0
3.2,28,0.0,0.0,0.0
3.2,29,0.0,0.0,0.00617283950617284
3.2,31,0.0,0.0,0.0
3.2,30,0.0,0.0,0.0
3.2,32,0.0,0.0,0.00617283950617284
3.2,33,0.0,0.0,0.0
3.2,34,0.0,0.0,0.0
3.2,35,0.0,0.0,0.0
3.2,36,0.0,0.0,0.0
3.2,37,0.0,0.0,0.00617283950617284
3.2,38,0.0,0.0,0.0
3.2,39,0.03754082803151493,0.7875,0.0476238340192044
3.2,40,0.0,0.0,0.0
3.2,41,0.0,0.0,0.0
3.2,42,0.0,0.0,0.00617283950617284
3.2,43,0.0,0.0,0.0
3.2,44,0.0,0.0,0.00617283950617284
3.2,45,0.0,0.0,0.0
3.2,46,0.0874853693025199,0.7875,0.13851529492455417
3.2,47,0.0,0.0,0.0
3.2,48,0.0,0.0,0.006172839506172836
3.2,49,0.0,0.0,0.0
3.4,1,0.0,0.0,0.0
3.4,0,0.0,0.0,0.0
3.4,2,0.0,0.0,0.0
3.4,3,0.0,0.0,4.930380657631324e-32
3.4,4,0.0,0.0,0.006172839506172837
3.4,5,0.0,0.0,0.0
3.4,6,0.0,0.0,0.0
3.4,7,0.0,0.0,0.0
3.4,8,0.0,0.0,0.0
3.4,9,0.0,0.0,0.0
3.4,11,0.0,0.0,0.0
3.4,10,0.20305872976878325,0.7875,0.2657649091220851
3.4,12,0.0,0.0,0.0
3.4,13,0.0,0.0,0.0
3.4,14,0.0,0.0,0.0
3.4,15,0.0,0.0,0.0
3.4,16,0.0,0.0,0.0
3.4,17,0.0,0.0,0.0
3.4,18,0.0,0.0,0.0
3.4,19,0.0,0.0,0.00617283950617284
3.4,21,0.0,0.0,0.0
3.4,20,0.0,0.0,0.0
3.4,22,0.0,0.0,0.0
3.4,23,0.01355470915600984,0.7875,0.01750562414266118
3.4,24,0.0,0.0,0.0
3.4,25,0.0,0.0,0.0
3.4,26,0.0,0.0,0.0
3.4,27,0.0,0.0,0.0
3.4,28,0.0,0.0,0.005208333333333338
3.4,29,0.0,0.0,0.0
3.4,30,0.0,0.0,0.0
3.4,31,0.0,0.0,0.005208333333333335
3.4,32,0.0,0.0,0.0
3.4,33,0.0,0.0,0.0
3.4,34,0.0,0.0,0.0
3.4,35,0.0,0.0,0.0
3.4,36,0.0,0.0,0.0
3.4,37,0.0,0.0,0.0
3.4,38,0.0,0.0,0.0
3.4,39,0.007535222192776629,0.7875,0.018942824074074074
